DEBUG 2024-06-16 18:45:07,407 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\email\quoprimime.py first seen with mtime 1680642250.0
DEBUG 2024-06-16 18:45:07,407 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\reduction.py first seen with mtime 1680642250.0
DEBUG 2024-06-16 18:45:07,409 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\site-packages\colorama\initialise.py first seen with mtime 1708447139.0806777
DEBUG 2024-06-16 18:45:07,411 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1715189343.9626083
DEBUG 2024-06-16 18:45:07,413 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py first seen with mtime 1680642250.0
DEBUG 2024-06-16 18:45:07,413 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\fractions.py first seen with mtime 1680642250.0
DEBUG 2024-06-16 18:45:07,413 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\template\__init__.py first seen with mtime 1715189344.0258946
DEBUG 2024-06-16 18:45:07,416 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\site-packages\phonenumbers\data\alt_format_34.py first seen with mtime 1717863638.013558
DEBUG 2024-06-16 18:45:07,417 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1715189343.3867629
DEBUG 2024-06-16 18:45:07,417 autoreload File C:\Users\zygin\AppData\Local\Programs\Python\Python311\Lib\email\mime\message.py first seen with mtime 1680642250.0
